1631378847,40.2511,170.0461
1631378849,40.1757,170.1755
1631378851,40.1001,170.3046
1631378853,40.0243,170.4334
1631378856,39.9294,170.5940
1631378858,39.8533,170.7221
1631378860,39.7771,170.8499
1631378862,39.7006,170.9774
1631378864,39.6240,171.1046
1631378866,39.5473,171.2315
1631378868,39.4511,171.3898
1631378870,39.3740,171.5160
1631378872,39.2968,171.6419
1631378874,39.2194,171.7676
1631378876,39.1418,171.8929
1631378879,39.0447,172.0492
1631378881,38.9667,172.1739
1631378883,38.8887,172.2982
1631378885,38.8105,172.4223
1631378887,38.7321,172.5462
1631378889,38.6536,172.6697
1631378891,38.5750,172.7929
1631378893,38.4765,172.9466
1631378895,38.3975,173.0691
1631378897,38.3184,173.1914
1631378899,38.2391,173.3133
1631378901,38.1597,173.4350
1631378903,38.0802,173.5564
1631378906,37.9806,173.7078
1631378908,37.9007,173.8286
1631378910,37.8207,173.9491
1631378912,37.7405,174.0694
1631378914,37.6602,174.1894
1631378916,37.5596,174.3390
1631378918,37.4790,174.4584
1631378920,37.3983,174.5774
1631378922,37.3174,174.6961
1631378924,37.2364,174.8146
1631378926,37.1552,174.9328
1631378929,37.0536,175.0803
1631378931,36.9721,175.1979
1631378933,36.8905,175.3153
1631378935,36.8088,175.4324
1631378937,36.7270,175.5492
1631378939,36.6450,175.6657
1631378941,36.5424,175.8110
1631378943,36.4601,175.9270
1631378945,36.3777,176.0427
1631378947,36.2951,176.1581
1631378949,36.2125,176.2733
